Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Epic,Foundation,"Accounts, environments, Azure resources, Dataverse schema, sample data. Maps to Day 1-2 of docs/04_daily_tasks.md.",High,foundation,,
Epic,Conversational layer,"Intake Agent (FNOL_Start + 11 loss-type child topics) + Explanation Agent + multi-channel deployment. Maps to Day 3-4, 13-14, 17.",High,conversational,,
Epic,Backend pipeline,"Extraction, Policy, Validation, Adjudication agents + Glass Box logging + Master Orchestration. Maps to Day 5-12.",High,backend,,
Epic,Adjuster + Customer UI,"Teams Adaptive Card + React frontend (Vite+Tailwind) + Theater Mode. Maps to Day 15-18 (UI mostly done already).",High,ui,,
Epic,Demo,"Sample data polish, Power BI dashboard, recording, rehearsal. Maps to Day 19-21.",High,demo,,
Epic,Production readiness,"Adapter procurement tracking for the 6 industry-gated data feeds (ISO/NICB/CARFAX/DMV/KBB/telematics). Not in dev's hand but a real workstream.",Medium,production,,
Story,R1 Architecture design + review,"Two-surface SPA (customer + handler) on Microsoft Power Platform + Azure AI. Done — see Confluence PRD + GitHub frontend/.",High,architecture,Foundation,3
Story,R2 Dataverse schema (5 tables),"Person 3 builds Policy, Claim, Document, Communication, Decision_Rationale tables per Schema Confluence page. Slim universal columns + LossTypeDetails JSON column on Claim.",High,dataverse,Foundation,5
Story,R3 Sample data — 5 US Personal Auto policies,"Seed Sarah Chen (CA), Michael Johnson (TX), Jennifer Rodriguez (FL no-fault), David Park (NY no-fault), Amanda Williams (OH expired) into Policy table.",High,dataverse,Foundation,2
Story,R4 Multi-channel Intake Agent — all 11 Auto loss types,"As a customer, I file an Auto claim of any of the 11 loss types via Mobile App, Web, Teams, SMS, or Email and Sara walks me through it in <2 min. Build FNOL_Start parent + 11 child topics in Copilot Studio per docs/intake_data_spec.md.",High,copilot-studio,Conversational layer,13
Story,R5 Policy validation (RAG),"As Adjudicator, I confirm coverage applies to this claim's loss type; cite the policy clause. Power Automate flow calls Azure AI Search API directly (not multi-agent handoff per ADR 2026-05-04).",High,power-automate,Backend pipeline,5
Story,R6 Document understanding,"As Extraction Agent, I parse damage photos, driver's license, insurance card, repair estimate, police report, fire dept report, medical records (varies by loss type). Use Azure AI Document Intelligence prebuilt models + GPT-4o Vision for damage photos.",High,azure-ai,Backend pipeline,8
Story,R7 Missing-info retrieval flow,"As a customer, I receive SMS/email with secure upload link if a required doc for my loss type is missing. Power Automate notification flow.",High,power-automate,Conversational layer,3
Story,R8 Adjudication agent,"As Adjudicator, AI synthesizes Policy + Extraction + Validation results -> confidence + recommendation + plain-English explanation. Apply loss-type-specific rules and per-state no-fault routing. Azure OpenAI GPT-4.1.",High,azure-ai,Backend pipeline,8
Story,R9 Validation agent — 7 sub-checks,"As Validation Agent, I run NOAA + NHTSA (live public APIs) + ISO + NICB + DMV + Telematics + EstimateRule (sandbox adapters) in parallel. Each writes to Glass Box.",High,power-automate,Backend pipeline,8
Story,R10 Tier 2 — Teams Adaptive Card,"As Claim Handler, I review medium-confidence claims in Teams with one-click approve/adjust/deny/request more info. Adaptive Card JSON in docs/02_architecture.md.",High,teams,Adjuster + Customer UI,5
Story,R11 Tier 3 — live CSR escalation,"As distressed customer, BI claimant, or fatal-injury claim, I'm transferred to live human CSR with full transcript. Teams chat handoff.",High,teams,Conversational layer,3
Story,R12 Glass Box audit trail,"As regulator/auditor, every AI decision is logged in Decision_Rationale with plain-English explanation. Reusable Power Automate child flow Log_To_GlassBox called from every agent. Maps to Colorado SB21-169 + NAIC AI Bulletin requirements.",High,glass-box,Backend pipeline,5
Story,R13 Adjuster Console (React),"As Claim Handler, I see queue + claim detail + Glass Box panel + Theater Mode in a custom web UI. Done in frontend/ — Vite+React+Tailwind.",High,frontend,Adjuster + Customer UI,5
Story,R14 Customer-facing app (React),"As customer, I file claims through a mobile-styled Web Chat that's visually distinct from a generic chat widget. Done in frontend/.",High,frontend,Adjuster + Customer UI,5
Story,R15 Theater Mode (live agent visualization),"As anyone (customer or handler), I watch the 5 agents execute in real time during claim processing. Done as mock-driven; live polling against Decision_Rationale rows = backend integration.",Medium,frontend,Adjuster + Customer UI,5
Story,R16 Power BI dashboard,"As a Manager, I see operational KPIs (volume by loss type, tier mix, fraud-flag rate, avg time to decision). Power BI Service against Dataverse.",Medium,power-bi,Demo,5
Story,R17 SSO for Adjuster Console,"As Claim Handler, I sign in with AI Elites Microsoft 365 account. Mock today, production-ready Microsoft Entra ID config in frontend/staticwebapp.config.json under _PRODUCTION_SSO_SNIPPET_READY_TO_PASTE.",Medium,frontend,Adjuster + Customer UI,3
Story,R18 Claim Reopen process,"As customer, I can reopen a denied/closed claim if new evidence emerges or I dispute the decision. Adds Reopen value to gbx_status_claim_choice + gbx_parent_claim lookup column on Claim table.",Medium,dataverse,Backend pipeline,3
Story,R19 Sample documents (synthetic),"Person 5 prepares synthetic but realistic damage photos, licenses, insurance cards, repair estimates for the 2 demo scenarios. Demo critical.",High,demo,Demo,3
Story,R20 End-to-end demo scenarios,"BUILD supports all 11 Personal Auto loss types end-to-end. DEMO showcases 2 polished scenarios: Sarah (Collision/Tier 1) + Jennifer (Comp-Weather/Tier 2). Day 19 dry runs.",High,demo,Demo,5
Story,R21 Backup demo video,"Recorded screen capture of both scenarios in case live demo fails. Day 20.",High,demo,Demo,2
Story,R22 Pitch deck + 5-min rehearsal,"10+ dry runs of the live pitch. Day 21.",High,demo,Demo,3
Story,R23 ISO ClaimSearch — production procurement,"Initiate procurement conversation with Verisk for ISO ClaimSearch carrier subscription. 60-90 day cycle. Owner: Sameet (or designated business lead).",Medium,procurement,Production readiness,2
Story,R24 NICB membership application,"Submit NICB membership application as carrier in good standing. ~30 day cycle.",Medium,procurement,Production readiness,2
Story,R25 CARFAX / Experian AutoCheck contract,"B2B contract with Experian/CARFAX for vehicle history API. 45-90 day cycle.",Medium,procurement,Production readiness,2
Story,R26 State DMV integrations,"Identify which states matter most (CA/TX/FL/NY/OH for our 5 sample policies); start contract conversations with each state's DMV API. Each state is a separate negotiation.",Medium,procurement,Production readiness,3
Story,R27 KBB / NADA / CCC ONE valuation API,"Subscription contract for total-loss ACV calculations.",Medium,procurement,Production readiness,2
Story,R28 Telematics carrier data sharing,"Telematics is carrier-owned. Production swap requires UBI data-sharing agreement with a partner carrier (Snapshot/Drivewise/Root). Owner: Suraj.",Low,procurement,Production readiness,2
