Table,Column (logical),Physical Column (Dataverse),Type,Required,Choice Set / Default,Lookup Target,Description
Policy,id,gbx_policy_id,Auto-number,Y,POL-{YYYY}-{SEQNUM:4},,Primary key
Policy,holder_name,gbx_holder_name,Text(255),Y,,,Policyholder full name
Policy,holder_email,gbx_holder_email,Email,Y,,,
Policy,holder_phone,gbx_holder_phone,Phone,Y,,,
Policy,policy_type,gbx_policy_type,Choice,Y,Auto,,Auto only (Personal Auto product line)
Policy,state,gbx_state,Choice,Y,US 50 states + DC,,Drives no-fault routing
Policy,coverage_details,gbx_coverage_details,Multiline,Y,,,US shorthand 100/300/50 + per-coverage breakdown
Policy,total_limit,gbx_total_limit,Currency,N,,,Aggregate liability cap
Policy,deductible,gbx_deductible,Currency,Y,,,
Policy,start_date,gbx_start_date,Date,Y,,,
Policy,end_date,gbx_end_date,Date,Y,,,
Policy,status,gbx_status,Choice,Y,Active|Lapsed|Cancelled|Pending,,
Policy,policy_pdf_url,gbx_policy_pdf_url,URL,N,,,Azure Blob path indexed by AI Search
Policy,vin,gbx_vin,Text(17),N,,,Primary insured vehicle VIN
Claim,id,gbx_claim_id,Auto-number,Y,CLM-{YYYY}-{SEQNUM:4},,Primary key
Claim,policy_id,gbx_policy,Lookup,Y,,Policy.id,
Claim,parent_claim_id,gbx_parent_claim,Lookup,N,,Claim.id,Self-reference for Reopen process
Claim,channel,gbx_channel,Choice,Y,MobileApp|Web|Teams|Email|SMS|WhatsApp,,
Claim,loss_type,gbx_loss_type,Choice,Y,Collision|Comp-Weather|Comp-Theft|Comp-Vandalism|Comp-Fire|Comp-Animal|Comp-Glass|Liab-PD|Liab-BI|PIP-MedPay|UM-UIM,,11 Personal Auto loss types
Claim,sub_type,gbx_sub_type,Text(100),N,,,e.g. Parked-and-struck Hail Hit-and-run
Claim,incident_date,gbx_incident_date,DateTime,Y,,,
Claim,incident_state,gbx_incident_state,Choice,Y,US 50 states + DC,,Drives no-fault routing
Claim,location,gbx_location,Text(500),Y,,,Address or {lat;lng}
Claim,description,gbx_description,Multiline,Y,,,U6 narrative - fed to LLM + sentiment check
Claim,loss_type_details,gbx_loss_type_details,Multiline (JSON),Y,,,All loss-type-specific answers as JSON. Shape varies per loss_type.
Claim,vin,gbx_vin,Text(17),N,,,
Claim,police_report_number,gbx_police_report_number,Text(50),N,,,If U8=Y
Claim,responding_agency,gbx_responding_agency,Text(200),N,,,If U8=Y
Claim,injury_flag,gbx_injury_flag,Yes/No,Y,,,U7
Claim,distress_flag,gbx_distress_flag,Yes/No,N,,,Set by sentiment analysis
Claim,vehicle_drivable,gbx_vehicle_drivable,Yes/No,N,,,
Claim,vehicle_towed,gbx_vehicle_towed,Yes/No,N,,,
Claim,tow_location,gbx_tow_location,Text(255),N,,,
Claim,other_party_involved,gbx_other_party_involved,Yes/No,Y,,,
Claim,status,gbx_status,Choice,Y,New|Processing|AwaitingDocs|UnderReview|Approved|Denied|Escalated|Cancelled|Reopen,,
Claim,confidence_score,gbx_confidence_score,Whole number (0-100),N,,,Set by Adjudication Agent
Claim,recommendation,gbx_recommendation,Choice,N,Approve|Deny|Partial|Escalate|Adjust,,
Claim,settlement_amount,gbx_settlement_amount,Currency,N,,,Final payout
Claim,settlement_type,gbx_settlement_type,Choice,N,DRP|Cash|TotalLoss|DirectToThirdParty,,
Claim,tier,gbx_tier,Choice,N,1|2|3,,Routing tier from Adjudication
Claim,assigned_adjuster_id,gbx_assigned_adjuster,Lookup,N,,Adjuster.id,Set by Handler Assignment Engine (was Text email; now FK)
Claim,assignment_reason,gbx_assignment_reason,Multiline,N,,,Plain-English why this adjuster - also written to Decision_Rationale
Claim,assigned_at,gbx_assigned_at,DateTime,N,,,Starts the SLA clock
Claim,sla_due_at,gbx_sla_due_at,DateTime,N,,,Computed at assignment time per tier
Claim,resolved_at,gbx_resolved_at,DateTime,N,,,
Document,id,gbx_doc_id,Auto-number,Y,DOC-{YYYY}-{SEQNUM:5},,Primary key
Document,claim_id,gbx_claim,Lookup,Y,,Claim.id,
Document,doc_type,gbx_doc_type,Choice,Y,DamagePhoto|DriversLicense|InsuranceCard|VehicleTitle|RegistrationCard|RepairEstimate|PoliceReport|FireDeptReport|MedicalRecord|LostWagesLetter|ContractorEstimate|WitnessStatement|Other,,
Document,file_name,gbx_file_name,Text(255),Y,,,
Document,file_url,gbx_file_url,URL,Y,,,Azure Blob path
Document,mime_type,gbx_mime_type,Text(50),N,,,
Document,size_bytes,gbx_size_bytes,Whole number,N,,,
Document,extracted_data,gbx_extracted_data,Multiline (JSON),N,,,Doc Intelligence response parsed
Document,quality_score,gbx_quality_score,Decimal (0-1),N,,,From GPT-4o Vision photo-quality check
Document,missing_fields,gbx_missing_fields,Multiline (JSON array),N,,,If extraction couldn't find required fields
Document,upload_date,gbx_upload_date,DateTime,Y,,,
Document,channel,gbx_channel,Choice,Y,(same as Claim.channel),,
Communication,id,gbx_comm_id,Auto-number,Y,COM-{YYYY}-{SEQNUM:6},,Primary key
Communication,claim_id,gbx_claim,Lookup,Y,,Claim.id,
Communication,direction,gbx_direction,Choice,Y,Inbound|Outbound,,
Communication,channel,gbx_channel,Choice,Y,(same as Claim.channel),,
Communication,message_content,gbx_message_content,Multiline,Y,,,
Communication,attachments,gbx_attachments,Multiline (JSON),N,,,Array of {name;url;size}
Communication,timestamp,gbx_timestamp,DateTime,Y,,,
Communication,agent_name,gbx_agent_name,Text(100),N,,,Intake|Explanation|Adjuster|Notification
Communication,sentiment_score,gbx_sentiment_score,Decimal (-1 to 1),N,,,From AOAI on inbound only
Communication,sender_id,gbx_sender_id,Text(255),N,,,
Decision_Rationale,id,gbx_log_id,Auto-number,Y,LOG-{YYYY}-{SEQNUM:7},,Primary key
Decision_Rationale,claim_id,gbx_claim,Lookup,Y,,Claim.id,
Decision_Rationale,agent_name,gbx_agent_name,Choice,Y,Intake|Extraction|Policy|Validation|Adjudication|Explanation|Notification|Adjuster|AssignmentEngine|VendorEngine,,
Decision_Rationale,sub_agent,gbx_sub_agent,Text(50),N,,,NOAA|NHTSA|ISO|NICB|DMV|Telematics|EstimateRule|Sentiment
Decision_Rationale,action,gbx_action,Text(255),Y,,,Short description of the step
Decision_Rationale,policy_reference,gbx_policy_reference,Text(255),N,,,e.g. Section 4.2 Collision Coverage
Decision_Rationale,data_points,gbx_data_points,Multiline (JSON),N,,,Input the agent saw
Decision_Rationale,confidence_contribution,gbx_confidence_contribution,Decimal,N,,,How this step affected overall confidence (-1 to +1)
Decision_Rationale,external_api_result,gbx_external_api_result,Multiline (JSON),N,,,Raw response from any external call
Decision_Rationale,adapter_status,gbx_adapter_status,Choice,N,Live|Sandbox|NotApplicable,,
Decision_Rationale,flag_raised,gbx_flag_raised,Yes/No,N,,,True if step raised a fraud or escalation flag
Decision_Rationale,flag_severity,gbx_flag_severity,Choice,N,Low|Medium|High,,
Decision_Rationale,human_readable_explanation,gbx_human_readable_explanation,Multiline,Y,,,Plain-English sentence Sara can quote. THE compliance text.
Decision_Rationale,latency_ms,gbx_latency_ms,Whole number,N,,,
Decision_Rationale,timestamp,gbx_timestamp,DateTime,Y,,,
Adjuster,id,gbx_adjuster_id,Auto-number,Y,ADJ-{SEQNUM:4},,Primary key
Adjuster,aad_email,gbx_aad_email,Email,Y,,,Microsoft Entra ID email - SSO identity
Adjuster,display_name,gbx_display_name,Text(200),Y,,,
Adjuster,seniority,gbx_seniority,Choice,Y,Junior|Senior|Lead,,
Adjuster,skills,gbx_skills,Choice (multi),Y,Auto-Collision|Auto-Comprehensive|Auto-Liability|BI|PIP|UM-Specialist|SIU-Fraud|Property-knowledge,,Used for skills-based routing
Adjuster,state_licenses,gbx_state_licenses,Choice (multi),Y,US 50 states + DC,,Adjuster must be licensed in claim's incident_state
Adjuster,is_available,gbx_is_available,Yes/No,Y,,,Currently on-shift and accepting new assignments
Adjuster,max_workload_per_day,gbx_max_workload,Whole number,Y,15 default,,Cap on concurrent active claims
Adjuster,current_workload,gbx_current_workload,Whole number,N,,,Computed from active Claim assignments
Adjuster,timezone,gbx_timezone,Choice,N,US/Pacific|US/Mountain|US/Central|US/Eastern,,Used for timezone-alignment scoring
Adjuster,excluded_policy_ids,gbx_excluded_policies,Multiline,N,,,Conflict-of-interest exclusions
Vendor,id,gbx_vendor_id,Auto-number,Y,VND-{SEQNUM:5},,Primary key
Vendor,vendor_type,gbx_vendor_type,Choice,Y,DRPShop|TowingCompany|GlassShop|RentalPartner|SalvageYard|IndependentAppraiser|MedicalProvider,,
Vendor,name,gbx_name,Text(200),Y,,,Business name
Vendor,address,gbx_address,Text(500),Y,,,
Vendor,latitude,gbx_lat,Decimal,Y,,,For distance scoring
Vendor,longitude,gbx_lng,Decimal,Y,,,
Vendor,service_radius_miles,gbx_service_radius,Whole number,Y,25 default,,Max distance from base they will travel
Vendor,services_offered,gbx_services,Choice (multi),Y,(varies by vendor_type),,e.g. Auto-Body|Glass-Replace|Tow-Standard
Vendor,is_active_in_drp,gbx_in_drp,Yes/No,Y,,,Part of carrier's preferred network
Vendor,customer_rating,gbx_customer_rating,Decimal (0-5),N,,,Average customer rating
Vendor,drp_performance_score,gbx_drp_score,Decimal (0-100),N,,,Carrier-internal: turnaround time + CSAT composite
Vendor,current_capacity,gbx_capacity,Whole number,N,,,Available capacity slots
Vendor,phone,gbx_vendor_phone,Phone,Y,,,
Vendor,email,gbx_vendor_email,Email,N,,,
Vendor,states_served,gbx_states,Choice (multi),Y,US 50 states + DC,,
ClaimVendorAssignment,id,gbx_cva_id,Auto-number,Y,CVA-{SEQNUM:6},,Primary key
ClaimVendorAssignment,claim_id,gbx_claim,Lookup,Y,,Claim.id,
ClaimVendorAssignment,vendor_id,gbx_vendor,Lookup,Y,,Vendor.id,
ClaimVendorAssignment,assignment_purpose,gbx_purpose,Choice,Y,Repair|Tow|Glass|Rental|Salvage|Inspect|Medical,,Why this vendor for this claim
ClaimVendorAssignment,distance_miles,gbx_distance,Decimal,N,,,Computed at assignment time
ClaimVendorAssignment,score,gbx_score,Decimal (0-100),N,,,Routing score - logged for audit
ClaimVendorAssignment,assignment_reason,gbx_reason,Multiline,N,,,Plain-English why this vendor
ClaimVendorAssignment,assigned_at,gbx_assigned_at,DateTime,Y,,,
ClaimVendorAssignment,sla_due_at,gbx_sla_due_at,DateTime,N,,,
ClaimVendorAssignment,status,gbx_cva_status,Choice,Y,Notified|Accepted|InProgress|Completed|Cancelled|Declined,,
ClaimVendorAssignment,completion_notes,gbx_completion_notes,Multiline,N,,,Vendor's update on completion
